x,exact,ftcs,lax,upwind
0,1,1.86788e+35,0.915691,0.991936
0.05,1,-1.46034e+35,0.928929,0.990981
0.1,1,-2.71451e+35,0.911097,0.988943
0.15,1,1.9982e+35,0.920314,0.985729
0.2,1,2.47396e+35,0.897387,0.981178
0.25,1,-3.45891e+35,0.903549,0.975075
0.3,1,-8.37566e+34,0.874786,0.967152
0.35,1,5.30537e+35,0.878737,0.957099
0.4,1,-2.5525e+35,0.843543,0.944583
0.45,1,-6.39738e+35,0.845967,0.929259
0.5,1,7.78557e+35,0.803989,0.91079
0.55,1,5.13777e+35,0.805411,0.888874
0.6,1,-1.42628e+36,0.756626,0.863263
0.65,1,1.89544e+34,0.757421,0.833791
0.7,1,2.03336e+36,0.702209,0.800394
0.75,1,-1.08693e+36,0.702632,0.763134
0.8,1,-2.31668e+36,0.641817,0.722211
0.85,1,2.7049e+36,0.642031,0.67797
0.9,1,1.90041e+36,0.576872,0.630899
0.95,1,-4.70256e+36,0.576974,0.581616
1,1,-3.86442e+35,0.509108,0.530849
1.05,0,6.67433e+36,0.509155,0.479406
1.1,0,-2.53559e+36,0.440485,0.428134
1.15,0,-7.97356e+36,0.440505,0.37788
1.2,0,6.95687e+36,0.373051,0.329451
1.25,0,7.76814e+36,0.373059,0.283571
1.3,0,-1.26255e+37,0.308779,0.24085
1.35,0,-5.16165e+36,0.308782,0.201758
1.4,0,1.88635e+37,0.249404,0.166614
1.45,0,-6.32685e+35,0.249405,0.135578
1.5,0,-2.45533e+37,0.196277,0.108659
1.55,0,1.00936e+37,0.196277,0.0857355
1.6,0,2.82116e+37,0.150274,0.0665708
1.65,0,-2.32078e+37,0.150274,0.0508459
1.7,0,-2.81486e+37,0.11176,0.0381856
1.75,0,3.9341e+37,0.11176,0.0281864
1.8,0,2.26934e+37,0.0806133,0.020441
1.85,0,-5.71949e+37,0.0806133,0.0145584
1.9,0,-1.04497e+37,0.0563084,0.010179
1.95,0,7.48689e+37,0.0563084,0.00698387
2,0,-9.46039e+36,0.0380272,0.00470023
2.05,0,-9.00219e+37,0.0380272,0.00310169
2.1,0,3.7209e+37,0.0247891,0.00200611
2.15,0,1.00115e+38,0.0247891,0.00127119
2.2,0,-7.21618e+37,0.0155717,0.000788831
2.25,0,-1.02702e+38,0.0155717,0.000479166
2.3,0,1.12885e+38,0.00940922,0.000284792
2.35,0,9.57211e+37,0.00940922,0.000165544
2.4,0,-1.57263e+38,0.00545892,9.40682e-05
2.45,0,-7.77573e+37,0.00545892,5.22286e-05
2.5,0,2.02703e+38,0.00303487,2.83203e-05
2.55,0,4.82323e+37,0.00303487,1.49896e-05
2.6,0,-2.46424e+38,0.0016134,7.7403e-06
2.65,0,-7.5008e+36,0.0016134,3.89729e-06
2.7,0,2.85768e+38,0.000818338,1.91231e-06
2.75,0,-4.31604e+37,0.000818338,9.13877e-07
2.8,0,-3.18517e+38,0.000395054,4.25092e-07
2.85,0,1.01671e+38,0.000395054,1.92337e-07
2.9,0,3.43165e+38,0.000181033,8.4593e-08
2.95,0,-1.65365e+38,0.000181033,3.61401e-08
3,0,-3.59115e+38,7.85193e-05,1.49866e-08
3.05,0,2.31273e+38,7.85193e-05,6.02743e-09
3.1,0,3.66763e+38,3.21303e-05,2.3492e-09
3.15,0,-2.96452e+38,3.21303e-05,8.86508e-10
3.2,0,-3.67462e+38,1.236e-05,3.23607e-10
3.25,0,3.58297e+38,1.236e-05,1.14155e-10
3.3,0,3.63348e+38,4.45193e-06,3.88744e-11
3.35,0,-4.14805e+38,4.45193e-06,1.27653e-11
3.4,0,-3.5706e+38,1.49461e-06,4.0372e-12
3.45,0,4.6474e+38,1.49461e-06,1.22816e-12
3.5,0,3.51376e+38,4.65264e-07,3.58884e-13
3.55,0,-5.0768e+38,4.65264e-07,1.00585e-13
3.6,0,-3.4882e+38,1.33492e-07,2.69959e-14
3.65,0,5.43926e+38,1.33492e-07,6.92611e-15
3.7,0,3.51293e+38,3.5054e-08,1.69545e-15
3.75,0,-5.74297e+38,3.5054e-08,3.9517e-16
3.8,0,-3.59779e+38,8.35446e-09,8.74986e-17
3.85,0,5.9984e+38,8.35446e-09,1.8359e-17
3.9,0,3.74179e+38,1.78899e-09,3.64015e-18
3.95,0,-6.21523e+38,1.78901e-09,6.79941e-19
4,0,-3.93276e+38,3.39956e-10,1.19234e-19
4.05,0,6.39945e+38,3.40009e-10,1.95526e-20
4.1,0,4.14848e+38,5.64985e-11,2.98503e-21
4.15,0,-6.55142e+38,5.66434e-11,4.22099e-22
4.2,0,-4.35902e+38,8.23915e-12,5.49569e-23
4.25,0,6.66518e+38,8.62604e-12,6.54272e-24
4.3,0,4.52985e+38,1.56163e-12,7.06887e-25
4.35,0,-6.72916e+38,2.57871e-12,7.04057e-26
4.4,0,-4.62542e+38,1.72184e-12,1.22322e-26
4.45,0,6.72814e+38,4.35512e-12,2.08359e-26
4.5,0,4.61262e+38,4.27219e-12,6.48297e-26
4.55,0,-6.64632e+38,1.09857e-11,2.03705e-25
4.6,0,-4.46385e+38,1.09797e-11,6.33515e-25
4.65,0,6.47071e+38,2.78319e-11,1.94918e-24
4.7,0,4.15954e+38,2.78316e-11,5.93307e-24
4.75,0,-6.19441e+38,6.94767e-11,1.78662e-23
4.8,0,-3.68974e+38,6.94767e-11,5.32236e-23
4.85,0,5.81924e+38,1.70775e-10,1.56852e-22
4.9,0,3.05515e+38,1.70775e-10,4.57278e-22
4.95,0,-5.35705e+38,4.13278e-10,1.31878e-21
5,0,-2.26723e+38,4.13278e-10,3.7623e-21
5.05,0,4.82969e+38,9.84544e-10,1.06174e-20
5.1,0,1.34777e+38,9.84544e-10,2.96388e-20
5.15,0,-4.26738e+38,2.30858e-09,8.18411e-20
5.2,0,-3.27818e+37,2.30858e-09,2.23533e-19
5.25,0,3.70584e+38,5.32738e-09,6.03897e-19
5.3,0,-7.5407e+37,5.32738e-09,1.61371e-18
5.35,0,-3.18245e+38,1.20971e-08,4.26504e-18
5.4,0,1.85399e+38,1.20971e-08,1.11492e-17
