x,y_lineal,y_fom,y_deim
0,0,0,0
0.0502513,0.0139264,0.0131274,0.0132366
0.100503,0.027978,0.026331,0.0265328
0.150754,0.042268,0.039683,0.0399473
0.201005,0.0568866,0.0532483,0.0535363
0.251256,0.0718901,0.0670804,0.0673515
0.301508,0.0872931,0.0812175,0.0814361
0.351759,0.103062,0.0956791,0.0958201
0.40201,0.11911,0.110461,0.110514
0.452261,0.135298,0.125533,0.125501
0.502513,0.151437,0.140828,0.140728
0.552764,0.167291,0.15624,0.156094
0.603015,0.182586,0.17161,0.171432
0.653266,0.197023,0.186712,0.186501
0.703518,0.21029,0.201239,0.200971
0.753769,0.222075,0.214788,0.214423
0.80402,0.232083,0.226857,0.226375
0.854271,0.240051,0.236885,0.236325
0.904523,0.245761,0.244334,0.243828
0.954774,0.249054,0.248831,0.248568
1.00503,0.249837,0.250277,0.250411
1.05528,0.248087,0.248849,0.249415
1.10553,0.243858,0.244894,0.245784
1.15578,0.237276,0.23878,0.23981
1.20603,0.228534,0.23082,0.231814
1.25628,0.217882,0.221262,0.222104
1.30653,0.205617,0.210315,0.210961
1.35678,0.192069,0.198175,0.198637
1.40704,0.177585,0.185039,0.185362
1.45729,0.162518,0.171114,0.171354
1.50754,0.147209,0.156613,0.156827
1.55779,0.131975,0.141771,0.142
1.60804,0.117104,0.126835,0.127107
1.65829,0.10284,0.112075,0.112395
1.70854,0.0893833,0.097764,0.0981233
1.75879,0.0768853,0.0841732,0.0845532
1.80905,0.0654508,0.0715439,0.0719246
1.8593,0.0551396,0.0600652,0.0604328
1.90955,0.0459705,0.0498524,0.0502046
1.9598,0.0379274,0.0409392,0.0412858
2.01005,0.0309653,0.0332865,0.0336445
2.0603,0.0250172,0.026805,0.0271902
2.11055,0.0200001,0.0213793,0.0217999
2.1608,0.0158215,0.0168863,0.0173408
2.21106,0.0123845,0.0132045,0.0136853
2.26131,0.00959199,0.0102195,0.0107171
2.31156,0.00735079,0.00782526,0.00833155
2.36181,0.0055737,0.00592586,0.00643499
2.41206,0.00418146,0.00443571,0.00494336
2.46231,0.00310369,0.0032798,0.00378177
2.51256,0.00227921,0.0023934,0.00288448
